"Update Status","Update Status"
"Assigned Product","Assigned Product"
"Product Information","Product Information"
"Value(s) are empty for one or more required fields at line %1","Value(s) are empty for one or more required fields at line %1"
"Product from same seller can't be Assigned, 
                            Product Sku is %1","Product from same seller can't be Assigned, 
                            Product Sku is %1"
"Assign product is available for Simple, Configurable and Virtual type products.","Assign product is available for Simple, Configurable and Virtual type products."
"Invalid Sku: "" %1""","Invalid Sku: "" %1"""
"Something went wrong.","Something went wrong."
"Mass Upload","Mass Upload"
"Assign Product","Assign Product"
"My Assigned Product List","My Assigned Product List"
"My Product List","My Product List"
Seller,Seller
Rating,Rating
Availability,Availability
Information,Information
Price,Price
Admin,Admin
New,New
Used,Used
"IN STOCK","IN STOCK"
"OUT OF STOCK","OUT OF STOCK"
"Something went wrong: "" %1""","Something went wrong: "" %1"""
"Marketplace Assign Products","Marketplace Assign Products"
"Add Assign Products","Add Assign Products"
Product,Product
"New Image","New Image"
"Manage Assign Products","Manage Assign Products"
"A total of %1 Product(s) have been approved.","A total of %1 Product(s) have been approved."
"Seller is required field.","Seller is required field."
"The product is already assigned to the seller.","The product is already assigned to the seller."
msg,msg
"Product is saved successfully.","Product is saved successfully."
"There was some error while processing your request.","There was some error while processing your request."
"Update Product","Update Product"
"Admin has assigned %1 product to you","Admin has assigned %1 product to you"
"Total %1 Product(s) Imported.","Total %1 Product(s) Imported."
"Finished Execution.","Finished Execution."
"Profile doesn't exists.","Profile doesn't exists."
"Marketplace Mass Upload","Marketplace Mass Upload"
"Something wrong with the uploaded file format","Something wrong with the uploaded file format"
"Your file was uploaded and unpacked.","Your file was uploaded and unpacked."
"Mass Assigned Product Upload","Mass Assigned Product Upload"
"Product deleted successfully.","Product deleted successfully."
"Edit Product","Edit Product"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) haven't been deleted.","A total of %1 record(s) haven't been deleted."
"Assigned Product List","Assigned Product List"
"Product is currently not available from seller.","Product is currently not available from seller."
"Quantities are not available from seller.","Quantities are not available from seller."
"Your assigned product for '%1' is approved.","Your assigned product for '%1' is approved."
"Your assigned product for '%1' is disapproved.","Your assigned product for '%1' is disapproved."
"Select Profile","Select Profile"
"With Minimum Price","With Minimum Price"
"With Maximum Price","With Maximum Price"
"With Minimum Quantity","With Minimum Quantity"
"With Maximum Quantity","With Maximum Quantity"
Disapproved,Disapproved
Approved,Approved
Pending,Pending
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details."
View,View
"View Customer","View Customer"
Edit,Edit
"View Product","View Product"
"Add Image","Add Image"
"Base Image","Base Image"
"Delete Showcase","Delete Showcase"
None,None
"Product Condition","Product Condition"
Quantity,Quantity
Description,Description
"Tax Class","Tax Class"
"Associated Products","Associated Products"
"Note: Set Quantity and Price 0, in case you don't want to assign the product.","Note: Set Quantity and Price 0, in case you don't want to assign the product."
"Product Name","Product Name"
Qty,Qty
"Save Product","Save Product"
"Please select associated product.","Please select associated product."
"Product Owner","Product Owner"
"Assigned By","Assigned By"
Status,Status
"Seller Info","Seller Info"
Condition,Condition
"Associated Product","Associated Product"
"No assigned products","No assigned products"
"Product Images","Product Images"
"Browse Files...","Browse Files..."
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Delete video","Delete video"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Alt Text","Alt Text"
